Field Name,Task Status,# Tasks With Status,Percentage
Deep Well W-01,Complete,13,86.66
Deep Well W-01,In Progress,2,13.33
Deep Well W-02,Complete,11,64.70
Deep Well W-02,In Progress,6,35.29
Delta Ranch D-01,Complete,20,76.92
Delta Ranch D-01,In Progress,1,3.846
Delta Ranch D-01,To Do,5,19.23
Delta Ranch D-02,Complete,49,83.05
Delta Ranch D-02,Discarded,3,5.084
Delta Ranch D-02,In Progress,2,3.389
Delta Ranch D-02,Partially Complete,2,3.389
Delta Ranch D-02,To Do,3,5.084
Delta Ranch D-03,Complete,17,70.83
Delta Ranch D-03,Discarded,1,4.166
Delta Ranch D-03,In Progress,1,4.166
Delta Ranch D-03,To Do,5,20.83
Delta Ranch D-05N,Complete,12,75.0
Delta Ranch D-05N,Discarded,3,18.75
Delta Ranch D-05N,To Do,1,6.25
Delta Ranch D-05S,Complete,39,86.66
Delta Ranch D-05S,Discarded,3,6.666
Delta Ranch D-05S,Partially Complete,2,4.444
Delta Ranch D-05S,To Do,1,2.222
Delta Ranch D-05,Complete,1,50.0
Delta Ranch D-05,To Do,1,50.0
Delta Ranch D-06,Complete,26,92.85
Delta Ranch D-06,To Do,2,7.142
Delta Ranch D-07,Complete,12,85.71
Delta Ranch D-07,Discarded,1,7.142
Delta Ranch D-07,To Do,1,7.142
Delta Ranch D-08N,Complete,2,100.0
Delta Ranch D-09E Block #1,Complete,13,92.85
Delta Ranch D-09E Block #1,Discarded,1,7.142
Delta Ranch D-09E Block #2,Complete,13,92.85
Delta Ranch D-09E Block #2,Discarded,1,7.142
Delta Ranch D-09W,Complete,15,93.75
Delta Ranch D-09W,Discarded,1,6.25
Delta Ranch D-10,Complete,17,89.47
Delta Ranch D-10,To Do,2,10.52
Delta Ranch D-11,Complete,44,86.27
Delta Ranch D-11,Discarded,2,3.921
Delta Ranch D-11,Partially Complete,1,1.960
Delta Ranch D-11,To Do,4,7.843
Delta Ranch D-12,Complete,46,92.0
Delta Ranch D-12,To Do,4,8.0
Delta Ranch D-13,Complete,8,72.72
Delta Ranch D-13,In Progress,1,9.090
Delta Ranch D-13,To Do,2,18.18
Delta Ranch D-14,Complete,45,93.75
Delta Ranch D-14,To Do,3,6.25
Delta Ranch D-15,Complete,21,80.76
Delta Ranch D-15,To Do,5,19.23
Delta Ranch D-17,Complete,15,68.18
Delta Ranch D-17,In Progress,1,4.545
Delta Ranch D-17,To Do,6,27.27
Delta Ranch D-18 Block  #8,Complete,12,54.54
Delta Ranch D-18 Block  #8,In Progress,5,22.72
Delta Ranch D-18 Block  #8,To Do,5,22.72
Delta Ranch D-18 Block #10,Complete,10,55.55
Delta Ranch D-18 Block #10,In Progress,4,22.22
Delta Ranch D-18 Block #10,To Do,4,22.22
Delta Ranch D-18 Block #11,Complete,9,52.94
Delta Ranch D-18 Block #11,In Progress,4,23.52
Delta Ranch D-18 Block #11,To Do,4,23.52
Delta Ranch D-18 Block #12,Complete,5,38.46
Delta Ranch D-18 Block #12,In Progress,4,30.76
Delta Ranch D-18 Block #12,To Do,4,30.76
Delta Ranch D-18 Block #1,Complete,28,66.66
Delta Ranch D-18 Block #1,In Progress,7,16.66
Delta Ranch D-18 Block #1,To Do,7,16.66
Delta Ranch D-18 Block #2,Complete,27,67.5
Delta Ranch D-18 Block #2,In Progress,6,15.0
Delta Ranch D-18 Block #2,To Do,7,17.5
Delta Ranch D-18 Block #3,Complete,27,67.5
Delta Ranch D-18 Block #3,In Progress,6,15.0
Delta Ranch D-18 Block #3,To Do,7,17.5
Delta Ranch D-18 Block #4,Complete,22,70.96
Delta Ranch D-18 Block #4,In Progress,4,12.90
Delta Ranch D-18 Block #4,To Do,5,16.12
Delta Ranch D-18 Block #5,Complete,21,67.74
Delta Ranch D-18 Block #5,In Progress,5,16.12
Delta Ranch D-18 Block #5,To Do,5,16.12
Delta Ranch D-18 Block #6,Complete,16,61.53
Delta Ranch D-18 Block #6,In Progress,5,19.23
Delta Ranch D-18 Block #6,To Do,5,19.23
Delta Ranch D-18 Block #7,Complete,18,62.06
Delta Ranch D-18 Block #7,In Progress,6,20.68
Delta Ranch D-18 Block #7,To Do,5,17.24
Delta Ranch D-18 Block #9,Complete,10,55.55
Delta Ranch D-18 Block #9,In Progress,4,22.22
Delta Ranch D-18 Block #9,To Do,4,22.22
Delta Ranch D-18,To Do,1,100.0
Delta Ranch D-19 #08,To Do,1,100.0
Delta Ranch D-19 #09,To Do,1,100.0
Delta Ranch D-19 Block #10,Complete,11,57.89
Delta Ranch D-19 Block #10,In Progress,4,21.05
Delta Ranch D-19 Block #10,To Do,4,21.05
Delta Ranch D-19 Block #11,Complete,3,27.27
Delta Ranch D-19 Block #11,In Progress,4,36.36
Delta Ranch D-19 Block #11,To Do,4,36.36
Delta Ranch D-19 Block #1,Complete,30,68.18
Delta Ranch D-19 Block #1,In Progress,7,15.90
Delta Ranch D-19 Block #1,To Do,7,15.90
Delta Ranch D-19 Block #2,Complete,29,69.04
Delta Ranch D-19 Block #2,In Progress,6,14.28
Delta Ranch D-19 Block #2,To Do,7,16.66
Delta Ranch D-19 Block #3,Complete,28,70.0
Delta Ranch D-19 Block #3,In Progress,6,15.0
Delta Ranch D-19 Block #3,To Do,6,15.0
Delta Ranch D-19 Block #4,Complete,22,68.75
Delta Ranch D-19 Block #4,In Progress,5,15.62
Delta Ranch D-19 Block #4,To Do,5,15.62
Delta Ranch D-19 Block #5,Complete,20,66.66
Delta Ranch D-19 Block #5,In Progress,5,16.66
Delta Ranch D-19 Block #5,To Do,5,16.66
Delta Ranch D-19 Block #6,Complete,15,60.0
Delta Ranch D-19 Block #6,In Progress,5,20.0
Delta Ranch D-19 Block #6,To Do,5,20.0
Delta Ranch D-19 Block #7,Complete,11,57.89
Delta Ranch D-19 Block #7,In Progress,4,21.05
Delta Ranch D-19 Block #7,To Do,4,21.05
Delta Ranch D-19 Block #8,Complete,10,55.55
Delta Ranch D-19 Block #8,In Progress,4,22.22
Delta Ranch D-19 Block #8,To Do,4,22.22
Delta Ranch D-19 Block #9,Complete,9,52.94
Delta Ranch D-19 Block #9,In Progress,4,23.52
Delta Ranch D-19 Block #9,To Do,4,23.52
Delta Ranch D-23,Complete,10,100.0
Delta Ranch D-24,Complete,9,100.0
Delta Ranch D-25N,Complete,1,100.0
Delta Ranch D-26,Complete,42,87.5
Delta Ranch D-26,Discarded,2,4.166
Delta Ranch D-26,Partially Complete,2,4.166
Delta Ranch D-26,To Do,2,4.166
Delta Ranch D-27,Complete,4,66.66
Delta Ranch D-27,In Progress,1,16.66
Delta Ranch D-27,To Do,1,16.66
Delta Ranch D-28,Complete,13,86.66
Delta Ranch D-28,To Do,2,13.33
Delta Ranch D-29,Complete,5,71.42
Delta Ranch D-29,In Progress,1,14.28
Delta Ranch D-29,To Do,1,14.28
Elbon E-01 North,Complete,4,57.14
Elbon E-01 North,Discarded,1,14.28
Elbon E-01 North,Partially Complete,2,28.57
Elbon E-01 South,Complete,4,66.66
Elbon E-01 South,Discarded,1,16.66
Elbon E-01 South,Partially Complete,1,16.66
Elbon E-02,Complete,7,100.0
Elbon E-03,Complete,12,63.15
Elbon E-03,Discarded,2,10.52
Elbon E-03,In Progress,1,5.263
Elbon E-03,Partially Complete,2,10.52
Elbon E-03,To Do,2,10.52
Elbon E-04,Complete,14,66.66
Elbon E-04,Discarded,2,9.523
Elbon E-04,In Progress,1,4.761
Elbon E-04,Partially Complete,2,9.523
Elbon E-04,To Do,2,9.523
Elbon E-05,Complete,13,68.42
Elbon E-05,Discarded,1,5.263
Elbon E-05,In Progress,1,5.263
Elbon E-05,Partially Complete,2,10.52
Elbon E-05,To Do,2,10.52
Elbon E-06,Complete,24,85.71
Elbon E-06,Discarded,1,3.571
Elbon E-06,To Do,3,10.71
Elbon E-07,Complete,13,86.66
Elbon E-07,Discarded,2,13.33
Elbon E-08,Complete,16,76.19
Elbon E-08,Discarded,1,4.761
Elbon E-08,In Progress,1,4.761
Elbon E-08,To Do,3,14.28
Hereford H-01,Complete,6,75.0
Hereford H-01,In Progress,1,12.5
Hereford H-01,To Do,1,12.5
Hereford H-02,Complete,8,80.0
Hereford H-02,Discarded,1,10.0
Hereford H-02,In Progress,1,10.0
Hereford H-03,Complete,6,75.0
Hereford H-03,In Progress,1,12.5
Hereford H-03,To Do,1,12.5
Hereford H-04,Complete,6,66.66
Hereford H-04,In Progress,1,11.11
Hereford H-04,To Do,2,22.22
Hereford H-05,Complete,10,71.42
Hereford H-05,In Progress,2,14.28
Hereford H-05,To Do,2,14.28
Hereford H-06,Complete,11,73.33
Hereford H-06,Discarded,1,6.666
Hereford H-06,In Progress,1,6.666
Hereford H-06,To Do,2,13.33
Hereford H-07,Complete,6,75.0
Hereford H-07,In Progress,1,12.5
Hereford H-07,To Do,1,12.5
Hereford H-08,Complete,12,75.0
Hereford H-08,In Progress,2,12.5
Hereford H-08,To Do,2,12.5
Hereford H-09,Complete,2,28.57
Hereford H-09,In Progress,1,14.28
Hereford H-09,To Do,4,57.14
Hereford H-10,Complete,1,16.66
Hereford H-10,In Progress,1,16.66
Hereford H-10,To Do,4,66.66
Hereford H-11,Complete,3,37.5
Hereford H-11,In Progress,1,12.5
Hereford H-11,To Do,4,50.0
Hereford H-12,Complete,3,33.33
Hereford H-12,In Progress,2,22.22
Hereford H-12,To Do,4,44.44
Hereford H-13,Complete,4,40.0
Hereford H-13,In Progress,1,10.0
Hereford H-13,To Do,5,50.0
Hereford H-14,Complete,3,33.33
Hereford H-14,In Progress,1,11.11
Hereford H-14,To Do,5,55.55
Hereford H-15,Complete,3,33.33
Hereford H-15,In Progress,1,11.11
Hereford H-15,To Do,5,55.55
Hereford H-16 North,Complete,16,100.0
Hereford H-16 South,Complete,10,100.0
Hereford H-17,Complete,14,87.5
Hereford H-17,To Do,2,12.5
Hereford H-18,Complete,12,75.0
Hereford H-18,Discarded,1,6.25
Hereford H-18,In Progress,1,6.25
Hereford H-18,To Do,2,12.5
Hereford H-20 Field,Complete,5,100.0
Hereford H-20 Test Plot,Complete,8,100.0
Hereford H-22,Complete,4,57.14
Hereford H-22,In Progress,1,14.28
Hereford H-22,To Do,2,28.57
Hereford H-23,Complete,16,76.19
Hereford H-23,In Progress,2,9.523
Hereford H-23,To Do,3,14.28
Hereford H-24,Complete,17,80.95
Hereford H-24,In Progress,1,4.761
Hereford H-24,To Do,3,14.28
Hereford H-25N,Complete,11,84.61
Hereford H-25N,To Do,2,15.38
Hereford H-25S,Complete,11,84.61
Hereford H-25S,To Do,2,15.38
Hereford H-27,Complete,8,72.72
Hereford H-27,In Progress,1,9.090
Hereford H-27,To Do,2,18.18
Hereford H-28,Complete,6,66.66
Hereford H-28,In Progress,1,11.11
Hereford H-28,To Do,2,22.22
Kreyenhagen K-02,Complete,20,86.95
Kreyenhagen K-02,In Progress,1,4.347
Kreyenhagen K-02,To Do,2,8.695
Kreyenhagen K-03,Complete,23,88.46
Kreyenhagen K-03,Discarded,2,7.692
Kreyenhagen K-03,To Do,1,3.846
Kreyenhagen K-04,Complete,14,77.77
Kreyenhagen K-04,To Do,4,22.22
Kreyenhagen K-05,Complete,20,71.42
Kreyenhagen K-05,Discarded,2,7.142
Kreyenhagen K-05,To Do,6,21.42
Kreyenhagen K-06,Complete,43,82.69
Kreyenhagen K-06,Discarded,2,3.846
Kreyenhagen K-06,In Progress,2,3.846
Kreyenhagen K-06,Partially Complete,2,3.846
Kreyenhagen K-06,To Do,3,5.769
Kreyenhagen K-07,Complete,18,75.0
Kreyenhagen K-07,In Progress,1,4.166
Kreyenhagen K-07,To Do,5,20.83
Las Animas L-01,Complete,33,89.18
Las Animas L-01,Discarded,2,5.405
Las Animas L-01,To Do,2,5.405
Las Animas L-02,Complete,32,91.42
Las Animas L-02,Discarded,2,5.714
Las Animas L-02,To Do,1,2.857
Las Animas L-03,Complete,36,85.71
Las Animas L-03,In Progress,2,4.761
Las Animas L-03,To Do,4,9.523
Las Animas L-04,Complete,35,89.74
Las Animas L-04,Discarded,1,2.564
Las Animas L-04,To Do,3,7.692
Las Animas L-05,Complete,35,87.5
Las Animas L-05,In Progress,2,5.0
Las Animas L-05,To Do,3,7.5
Las Animas L-06,Complete,30,85.71
Las Animas L-06,In Progress,2,5.714
Las Animas L-06,To Do,3,8.571
Las Animas L-07E-Center,Complete,4,100.0
Las Animas L-07E-North,Complete,21,100.0
Las Animas L-07E-South,Complete,18,94.73
Las Animas L-07E-South,In Progress,1,5.263
Las Animas L-07EN Center,Complete,14,82.35
Las Animas L-07EN Center,To Do,3,17.64
Las Animas L-07W,Complete,14,93.33
Las Animas L-07W,To Do,1,6.666
Las Animas L-09,Complete,34,89.47
Las Animas L-09,In Progress,1,2.631
Las Animas L-09,To Do,3,7.894
Las Animas L-10,Complete,9,100.0
Las Animas L-11,Complete,36,94.73
Las Animas L-11,To Do,2,5.263
Las Animas L-20,Complete,11,84.61
Las Animas L-20,In Progress,2,15.38
Las Animas L-21,Complete,13,86.66
Las Animas L-21,To Do,2,13.33
Las Animas L-22,Complete,14,100.0
Las Animas L-25,Complete,25,96.15
Las Animas L-25,To Do,1,3.846
Las Animas L-27,Complete,28,93.33
Las Animas L-27,In Progress,1,3.333
Las Animas L-27,To Do,1,3.333
Las Animas L-30,Complete,12,85.71
Las Animas L-30,In Progress,1,7.142
Las Animas L-30,To Do,1,7.142
Las Animas L-31,Complete,13,86.66
Las Animas L-31,In Progress,1,6.666
Las Animas L-31,To Do,1,6.666
Las Animas L-32,Complete,17,100.0
Las Animas L-33,Complete,16,88.88
Las Animas L-33,In Progress,1,5.555
Las Animas L-33,To Do,1,5.555
Las Animas L-35,Complete,17,89.47
Las Animas L-35,In Progress,1,5.263
Las Animas L-35,To Do,1,5.263
Las Animas L-36 North,Complete,8,100.0
Las Animas L-36 South,Complete,8,100.0
Las Animas L-37,Complete,12,85.71
Las Animas L-37,In Progress,1,7.142
Las Animas L-37,To Do,1,7.142
Lone Tree T-01,Complete,18,85.71
Lone Tree T-01,In Progress,1,4.761
Lone Tree T-01,To Do,2,9.523
Lone Tree T-02,Complete,16,84.21
Lone Tree T-02,In Progress,1,5.263
Lone Tree T-02,To Do,2,10.52
Lone Tree T-03,Complete,18,85.71
Lone Tree T-03,In Progress,1,4.761
Lone Tree T-03,To Do,2,9.523
Lone Tree T-05,Complete,45,91.83
Lone Tree T-05,In Progress,2,4.081
Lone Tree T-05,To Do,2,4.081
Lone Tree T-06,Complete,18,90.0
Lone Tree T-06,In Progress,1,5.0
Lone Tree T-06,To Do,1,5.0
Lone Tree T-07,Complete,18,85.71
Lone Tree T-07,In Progress,1,4.761
Lone Tree T-07,To Do,2,9.523
Lone Tree T-08,Complete,14,82.35
Lone Tree T-08,In Progress,1,5.882
Lone Tree T-08,To Do,2,11.76
Lone Tree T-09,Complete,12,63.15
Lone Tree T-09,Discarded,1,5.263
Lone Tree T-09,In Progress,3,15.78
Lone Tree T-09,To Do,3,15.78
Lone Tree T-10 North,Complete,8,72.72
Lone Tree T-10 North,Discarded,1,9.090
Lone Tree T-10 North,Partially Complete,2,18.18
Lone Tree T-10 South,Complete,8,80.0
Lone Tree T-10 South,Discarded,1,10.0
Lone Tree T-10 South,Partially Complete,1,10.0
Lone Tree T-11,Complete,12,85.71
Lone Tree T-11,Discarded,1,7.142
Lone Tree T-11,To Do,1,7.142
Lone Tree T-12,Complete,20,95.23
Lone Tree T-12,In Progress,1,4.761
Merced D-18,To Do,1,100.0
Merced D-19,To Do,1,100.0
Pick Anderson P-01E,Complete,16,84.21
Pick Anderson P-01E,In Progress,2,10.52
Pick Anderson P-01E,To Do,1,5.263
Pick Anderson P-01W,Complete,15,83.33
Pick Anderson P-01W,In Progress,2,11.11
Pick Anderson P-01W,To Do,1,5.555
Pick Anderson P-02,Complete,37,84.09
Pick Anderson P-02,In Progress,2,4.545
Pick Anderson P-02,Partially Complete,2,4.545
Pick Anderson P-02,To Do,3,6.818
Pick Anderson P-03,Complete,12,66.66
Pick Anderson P-03,To Do,6,33.33
Pick Anderson P-04,Complete,10,62.5
Pick Anderson P-04,To Do,6,37.5
Pick Anderson P-05,Complete,16,69.56
Pick Anderson P-05,Discarded,1,4.347
Pick Anderson P-05,To Do,6,26.08
Pick Anderson P-06,Complete,13,68.42
Pick Anderson P-06,To Do,6,31.57
Pick Anderson P-07,Complete,12,66.66
Pick Anderson P-07,To Do,6,33.33
Pick Anderson P-08,Complete,12,85.71
Pick Anderson P-08,To Do,2,14.28
Pick Anderson P-09,Complete,14,87.5
Pick Anderson P-09,In Progress,1,6.25
Pick Anderson P-09,To Do,1,6.25
Pick Anderson P-10,Complete,13,86.66
Pick Anderson P-10,In Progress,1,6.666
Pick Anderson P-10,To Do,1,6.666
Pick Anderson P-11,Complete,6,100.0
Pick Anderson P-12,Complete,24,77.41
Pick Anderson P-12,To Do,7,22.58
Pick Anderson P-13E,Complete,16,88.88
Pick Anderson P-13E,To Do,2,11.11
Pick Anderson P-13W,Complete,24,77.41
Pick Anderson P-13W,In Progress,1,3.225
Pick Anderson P-13W,To Do,6,19.35
Pick Anderson P-14E,Complete,43,93.47
Pick Anderson P-14E,In Progress,1,2.173
Pick Anderson P-14E,To Do,2,4.347
Pick Anderson P-14W,Complete,42,93.33
Pick Anderson P-14W,In Progress,1,2.222
Pick Anderson P-14W,To Do,2,4.444
Pick Anderson P-15,Complete,34,94.44
Pick Anderson P-15,Discarded,1,2.777
Pick Anderson P-15,To Do,1,2.777
Pick Anderson P-16E,Complete,31,88.57
Pick Anderson P-16E,To Do,4,11.42
Pick Anderson P-16W,Complete,38,86.36
Pick Anderson P-16W,Discarded,2,4.545
Pick Anderson P-16W,In Progress,1,2.272
Pick Anderson P-16W,Partially Complete,2,4.545
Pick Anderson P-16W,To Do,1,2.272
Pick Anderson P-17,Complete,31,88.57
Pick Anderson P-17,In Progress,3,8.571
Pick Anderson P-17,To Do,1,2.857
Pick Anderson P-18,Complete,40,88.88
Pick Anderson P-18,Discarded,2,4.444
Pick Anderson P-18,Partially Complete,2,4.444
Pick Anderson P-18,To Do,1,2.222
Pick Anderson P-19,Complete,33,84.61
Pick Anderson P-19,In Progress,2,5.128
Pick Anderson P-19,To Do,4,10.25
Pick Anderson P-20,Complete,13,92.85
Pick Anderson P-20,To Do,1,7.142
Pick Anderson P-21,Complete,14,93.33
Pick Anderson P-21,To Do,1,6.666
Pick Anderson P-22,Complete,11,73.33
Pick Anderson P-22,Discarded,1,6.666
Pick Anderson P-22,In Progress,1,6.666
Pick Anderson P-22,To Do,2,13.33
Pick Anderson P-23,Complete,16,88.88
Pick Anderson P-23,In Progress,1,5.555
Pick Anderson P-23,To Do,1,5.555
Pick Anderson P-24,Complete,16,94.11
Pick Anderson P-24,To Do,1,5.882
Pick Anderson P-25,Complete,15,88.23
Pick Anderson P-25,In Progress,1,5.882
Pick Anderson P-25,To Do,1,5.882
Pick Anderson P-26,Complete,18,78.26
Pick Anderson P-26,Discarded,1,4.347
Pick Anderson P-26,In Progress,2,8.695
Pick Anderson P-26,To Do,2,8.695
Pick Anderson P-27,Complete,15,83.33
Pick Anderson P-27,In Progress,1,5.555
Pick Anderson P-27,To Do,2,11.11
Pick Anderson P-29,Complete,7,100.0
Pick Anderson P-31,Complete,13,86.66
Pick Anderson P-31,In Progress,1,6.666
Pick Anderson P-31,To Do,1,6.666
Pick Anderson P-32,Complete,8,80.0
Pick Anderson P-32,In Progress,1,10.0
Pick Anderson P-32,To Do,1,10.0
Pick Anderson P-34,Complete,11,84.61
Pick Anderson P-34,In Progress,1,7.692
Pick Anderson P-34,To Do,1,7.692
Pick Anderson P-35,Complete,6,85.71
Pick Anderson P-35,Discarded,1,14.28
Pick Anderson P-36,Complete,7,87.5
Pick Anderson P-36,Discarded,1,12.5
Pick Anderson P-37,Complete,38,88.37
Pick Anderson P-37,To Do,5,11.62
Pick Anderson P-38,Complete,37,86.04
Pick Anderson P-38,In Progress,2,4.651
Pick Anderson P-38,To Do,4,9.302
Pick Anderson P-39,Complete,5,100.0
Pick Anderson P-40,Complete,22,81.48
Pick Anderson P-40,Discarded,1,3.703
Pick Anderson P-40,Partially Complete,1,3.703
Pick Anderson P-40,To Do,3,11.11
Pick Anderson P-41,Complete,23,82.14
Pick Anderson P-41,Discarded,1,3.571
Pick Anderson P-41,Partially Complete,1,3.571
Pick Anderson P-41,To Do,3,10.71
Pick Anderson P-42,Complete,36,81.81
Pick Anderson P-42,In Progress,4,9.090
Pick Anderson P-42,To Do,4,9.090
Pick Anderson P-43,Complete,15,88.23
Pick Anderson P-43,In Progress,1,5.882
Pick Anderson P-43,To Do,1,5.882
Pick Anderson P-44,Complete,16,84.21
Pick Anderson P-44,Discarded,1,5.263
Pick Anderson P-44,In Progress,1,5.263
Pick Anderson P-44,To Do,1,5.263
Pick Anderson P-45,Complete,10,100.0
Pick Anderson P-46,Complete,13,86.66
Pick Anderson P-46,In Progress,1,6.666
Pick Anderson P-46,To Do,1,6.666
Pick Anderson P-47,Complete,12,75.0
Pick Anderson P-47,Discarded,1,6.25
Pick Anderson P-47,In Progress,1,6.25
Pick Anderson P-47,To Do,2,12.5
